he she
him her
his her
himself herself
man woman
men women
boy girl
boys girls
father mother
dad mom
daddy mommy
papa mama
pa ma
son daughter
sons daughters
brother sister
brothers sisters
husband wife
husbands wives
uncle aunt
uncles aunts
nephew niece
nephews nieces
grandfather grandmother
grandpa grandma
grandson granddaughter
grandsons granddaughters
stepfather stepmother
stepson stepdaughter
stepbrother stepsister
godfather godmother
godson goddaughter
father-in-law mother-in-law
son-in-law daughter-in-law
brother-in-law sister-in-law
male female
males females
masculine feminine
gentleman lady
gentlemen ladies
sir madam
mister miss
mr mrs
widower widow
bachelor bachelorette
groom bride
fiance fiancee
hero heroine
king queen
kings queens
prince princess
princes princesses
emperor empress
emperors empresses
tsar tsarina
czar czarina
sultan sultana
maharajah maharani
duke duchess
dukes duchesses
baron baroness
count countess
earl countess
marquis marchioness
lord lady
lords ladies
monk nun
monks nuns
priest priestess
abbot abbess
god goddess
gods goddesses
wizard witch
warlock witch
sorcerer sorceress
incubus succubus
landlord landlady
headmaster headmistress
schoolmaster schoolmistress
master mistress
host hostess
steward stewardess
waiter waitress
actor actress
actors actresses
barman barmaid
policeman policewoman
fireman firewoman
congressman congresswoman
councilman councilwoman
assemblyman assemblywoman
chairman chairwoman
spokesman spokeswoman
salesman saleswoman
businessman businesswoman
anchorman anchorwoman
cameraman camerawoman
kinosman kinswoman
countryman countrywoman
bull cow
bulls cows
rooster hen
cock hen
drake duck
gander goose
boar sow
stallion mare
ram ewe
buck doe
stag hind
hart hind
colt filly
fox vixen
lion lioness
tiger tigress
leopard leopardess
dog bitch
stallion mare
tom queen
jack jill
